StimuliName,user,FixationDuration,count
03_Bordeaux_S2.jpg,p14,18330,66
03_Bordeaux_S2.jpg,p15,23099,61
03_Bordeaux_S2.jpg,p18,9723,33
03_Bordeaux_S2.jpg,p19,13953,38
03_Bordeaux_S2.jpg,p2,7909,28
03_Bordeaux_S2.jpg,p22,50307,127
03_Bordeaux_S2.jpg,p23,6043,27
03_Bordeaux_S2.jpg,p26,16307,35
03_Bordeaux_S2.jpg,p27,20013,58
03_Bordeaux_S2.jpg,p3,12807,37
03_Bordeaux_S2.jpg,p30,5945,23
03_Bordeaux_S2.jpg,p31,7609,24
03_Bordeaux_S2.jpg,p34,7907,29
03_Bordeaux_S2.jpg,p35,31588,93
03_Bordeaux_S2.jpg,p38,20183,76
03_Bordeaux_S2.jpg,p39,7029,26
03_Bordeaux_S2.jpg,p6,17435,37
03_Bordeaux_S2.jpg,p7,10410,30
03b_Bordeaux_S1.jpg,p10,17205,35
03b_Bordeaux_S1.jpg,p11,5476,15
03b_Bordeaux_S1.jpg,p14,10626,27
03b_Bordeaux_S1.jpg,p15,19996,47
03b_Bordeaux_S1.jpg,p18,6759,23
03b_Bordeaux_S1.jpg,p19,13342,27
03b_Bordeaux_S1.jpg,p2,10189,24
03b_Bordeaux_S1.jpg,p22,7061,17
03b_Bordeaux_S1.jpg,p23,18466,50
03b_Bordeaux_S1.jpg,p26,6576,11
03b_Bordeaux_S1.jpg,p27,18900,48
03b_Bordeaux_S1.jpg,p3,6562,19
03b_Bordeaux_S1.jpg,p30,14638,35
03b_Bordeaux_S1.jpg,p31,6297,30
03b_Bordeaux_S1.jpg,p34,28290,64
03b_Bordeaux_S1.jpg,p35,40286,64
03b_Bordeaux_S1.jpg,p38,12655,37
03b_Bordeaux_S1.jpg,p39,16348,53
03b_Bordeaux_S1.jpg,p6,6495,20
03b_Bordeaux_S1.jpg,p7,9506,31
03b_Bordeaux_S2.jpg,p1,3963,14
03b_Bordeaux_S2.jpg,p12,6545,21
03b_Bordeaux_S2.jpg,p13,5764,18
03b_Bordeaux_S2.jpg,p16,7342,25
03b_Bordeaux_S2.jpg,p17,6709,22
03b_Bordeaux_S2.jpg,p20,10178,41
03b_Bordeaux_S2.jpg,p21,9223,25
03b_Bordeaux_S2.jpg,p24,5763,23
03b_Bordeaux_S2.jpg,p25,8976,23
03b_Bordeaux_S2.jpg,p28,16949,59
03b_Bordeaux_S2.jpg,p29,7659,25
03b_Bordeaux_S2.jpg,p32,6742,23
03b_Bordeaux_S2.jpg,p33,4595,18
03b_Bordeaux_S2.jpg,p36,9992,27
03b_Bordeaux_S2.jpg,p37,11442,33
03b_Bordeaux_S2.jpg,p4,5794,25
03b_Bordeaux_S2.jpg,p40,6144,24
03b_Bordeaux_S2.jpg,p5,54355,130
03b_Bordeaux_S2.jpg,p8,4462,14
03b_Bordeaux_S2.jpg,p9,4496,13
04_Köln_S1.jpg,p1,8644,32
04_Köln_S1.jpg,p12,18712,71
04_Köln_S1.jpg,p13,10110,39
04_Köln_S1.jpg,p16,37620,147
04_Köln_S1.jpg,p17,40918,111
04_Köln_S1.jpg,p20,16452,64
04_Köln_S1.jpg,p21,15037,49
04_Köln_S1.jpg,p24,23427,75
04_Köln_S1.jpg,p25,18899,56
04_Köln_S1.jpg,p28,35352,123
04_Köln_S1.jpg,p29,20898,77
04_Köln_S1.jpg,p32,19898,56
04_Köln_S1.jpg,p33,11255,52
04_Köln_S1.jpg,p36,26010,84
04_Köln_S1.jpg,p37,11407,41
04_Köln_S1.jpg,p4,29236,111
04_Köln_S1.jpg,p40,29457,95
04_Köln_S1.jpg,p5,16715,44
04_Köln_S1.jpg,p8,38982,92
04_Köln_S1.jpg,p9,10453,40
04_Köln_S2.jpg,p10,22050,53
04_Köln_S2.jpg,p11,17603,54
04_Köln_S2.jpg,p14,12372,35
04_Köln_S2.jpg,p15,50356,146
04_Köln_S2.jpg,p18,45077,128
04_Köln_S2.jpg,p19,17289,45
04_Köln_S2.jpg,p2,65628,181
04_Köln_S2.jpg,p22,19199,43
04_Köln_S2.jpg,p23,49724,145
04_Köln_S2.jpg,p26,25463,73
04_Köln_S2.jpg,p27,97749,305
04_Köln_S2.jpg,p3,8977,28
04_Köln_S2.jpg,p30,13740,40
04_Köln_S2.jpg,p31,8492,29
04_Köln_S2.jpg,p34,10938,41
04_Köln_S2.jpg,p35,53554,177
04_Köln_S2.jpg,p38,23211,78
04_Köln_S2.jpg,p39,33523,86
04_Köln_S2.jpg,p6,12223,43
04_Köln_S2.jpg,p7,15769,38
04b_Köln_S1.jpg,p10,95108,223
04b_Köln_S1.jpg,p11,15470,46
04b_Köln_S1.jpg,p14,43047,127
04b_Köln_S1.jpg,p15,63420,183
04b_Köln_S1.jpg,p18,13574,43
04b_Köln_S1.jpg,p19,23680,63
04b_Köln_S1.jpg,p2,29895,67
04b_Köln_S1.jpg,p22,19829,57
04b_Köln_S1.jpg,p23,19698,70
04b_Köln_S1.jpg,p26,10076,26
04b_Köln_S1.jpg,p27,87872,246
04b_Köln_S1.jpg,p3,23713,77
04b_Köln_S1.jpg,p30,21761,67
04b_Köln_S1.jpg,p31,18747,70
04b_Köln_S1.jpg,p34,25511,69
04b_Köln_S1.jpg,p35,79320,176
04b_Köln_S1.jpg,p38,35816,116
04b_Köln_S1.jpg,p39,38460,135
04b_Köln_S1.jpg,p6,13653,47
04b_Köln_S1.jpg,p7,62893,210
04b_Köln_S2.jpg,p1,8562,26
04b_Köln_S2.jpg,p12,18631,68
04b_Köln_S2.jpg,p13,12158,36
04b_Köln_S2.jpg,p16,59602,197
04b_Köln_S2.jpg,p17,30803,93
04b_Köln_S2.jpg,p20,18352,71
04b_Köln_S2.jpg,p21,24780,54
04b_Köln_S2.jpg,p24,26064,93
04b_Köln_S2.jpg,p25,26591,68
04b_Köln_S2.jpg,p28,12037,30
04b_Köln_S2.jpg,p29,23925,70
04b_Köln_S2.jpg,p32,10326,22
04b_Köln_S2.jpg,p33,10792,31
04b_Köln_S2.jpg,p36,12185,24
04b_Köln_S2.jpg,p37,52618,160
04b_Köln_S2.jpg,p4,20283,73
04b_Köln_S2.jpg,p40,14468,48
04b_Köln_S2.jpg,p5,39181,113
04b_Köln_S2.jpg,p8,29360,81
04b_Köln_S2.jpg,p9,7361,23
05_Frankfurt_S1.jpg,p1,7142,28
05_Frankfurt_S1.jpg,p12,20363,69
05_Frankfurt_S1.jpg,p13,11490,38
