,city,description,complexity,saccade_value,duration
213,Bologna,color,131,4.075364046016465e-05,336.72
214,Bologna,color,131,5.957037874729155e-05,304.47435897435895
215,Bologna,color,131,6.491610269971905e-05,268.4791666666667
216,Bologna,color,131,4.456551676129052e-05,351.66129032258067
217,Bologna,color,131,7.012064944087777e-05,296.875
218,Bologna,color,131,3.229153737441879e-05,473.25274725274727
219,Bologna,color,131,7.639581322821113e-05,315.38775510204084
220,Brüssel,color,179,4.8366872012717125e-05,317.8636363636364
221,Brüssel,color,179,5.628942181739898e-05,306.63513513513516
222,Brüssel,color,179,7.355390195045938e-05,250.36206896551724
223,Brüssel,color,179,9.411313514539532e-05,295.25888324873097
224,Brüssel,color,179,5.5678048543478087e-05,365.20454545454544
225,Brüssel,color,179,0.00011304110082007634,268.5844155844156
226,Brüssel,color,179,5.363105822947483e-05,367.8333333333333
227,Brüssel,color,179,7.477785791758218e-05,395.8181818181818
228,Brüssel,color,179,3.9592587273889176e-05,383.0175438596491
229,Brüssel,color,179,5.165701655791698e-05,343.67857142857144
230,Brüssel,color,179,6.131017035908413e-05,347.09375
231,Brüssel,color,179,4.363653096765295e-05,310.375
232,Brüssel,color,179,0.00011515544001701309,293.11475409836066
233,Brüssel,color,179,6.331448667873855e-05,388.56
234,Brüssel,color,179,7.063661473435312e-05,345.4909090909091
235,Brüssel,color,179,5.948185191028127e-05,340.17857142857144
236,Brüssel,color,179,2.9096154886215694e-05,313.25333333333333
237,Brüssel,color,179,4.447078904624002e-05,327.8888888888889
238,Brüssel,color,179,2.5400683461190208e-05,428.125
239,Brüssel,color,179,4.9910384076782275e-05,337.3235294117647
240,Budapest,color,223,6.82394829029963e-05,377.90909090909093
241,Budapest,color,223,4.471657363444062e-05,329.58490566037733
242,Budapest,color,223,0.00011170723006435925,296.8478260869565
243,Budapest,color,223,4.6270695410739195e-05,386.9782608695652
244,Budapest,color,223,5.5089323797508514e-05,372.44444444444446
245,Budapest,color,223,0.00010023199639286753,387.5405405405405
246,Budapest,color,223,6.24378473666404e-05,460.6470588235294
247,Budapest,color,223,0.0001155069766244486,301.0
248,Budapest,color,223,5.0492673794729996e-05,437.94594594594594
249,Budapest,color,223,7.972921018799073e-05,443.2987012987013
250,Budapest,color,223,0.0001748339230188162,256.48148148148147
251,Budapest,color,223,4.096498680748222e-05,424.4848484848485
252,Budapest,color,223,0.00016878692167733296,327.74285714285713
253,Budapest,color,223,1.9970811267703837e-05,460.2682926829268
254,Budapest,color,223,6.40311281067788e-05,392.921875
255,Budapest,color,223,0.0008103446202462765,203.46428571428572
256,Budapest,color,223,6.859899814934113e-05,286.9753086419753
257,Budapest,color,223,2.725819740915427e-05,428.37254901960785
258,Budapest,color,223,5.428761827830182e-05,433.57377049180326
259,Budapest,color,223,4.021155077455151e-05,536.2
260,Düsseldorf,color,128,0.00016233381532518263,306.5833333333333
261,Düsseldorf,color,128,5.89962468199012e-05,310.4761904761905
262,Düsseldorf,color,128,2.9477437427283556e-05,262.5238095238095
263,Düsseldorf,color,128,0.0001085113152159518,289.2
264,Düsseldorf,color,128,2.0586760579167256e-05,552.0769230769231
265,Düsseldorf,color,128,9.878647505809488e-05,267.3939393939394
266,Düsseldorf,color,128,3.2669496655190934e-05,441.42857142857144
267,Düsseldorf,color,128,6.046859141028448e-05,339.04545454545456
268,Düsseldorf,color,128,0.00013109765800629574,330.0
269,Düsseldorf,color,128,0.00016787827189540245,301.0833333333333
270,Düsseldorf,color,128,9.199269336351211e-05,320.3809523809524
271,Düsseldorf,color,128,2.3061063794919845e-05,453.61538461538464
272,Düsseldorf,color,128,5.8351194359060724e-05,285.9166666666667
273,Düsseldorf,color,128,1.970294969677816e-05,418.0
274,Düsseldorf,color,128,4.085140384794663e-05,318.2307692307692
275,Düsseldorf,color,128,0.00011372308685526603,269.5
276,Düsseldorf,color,128,5.633407779502172e-05,316.46153846153845
277,Düsseldorf,color,128,7.286784733440813e-05,223.31034482758622
278,Düsseldorf,color,128,2.0936942178480194e-05,412.06382978723406
279,Düsseldorf,color,128,5.995800883884115e-05,338.44
280,Göteborg,color,72,0.0002003531050887123,274.0
281,Göteborg,color,72,0.00011024308735709672,349.8125
282,Göteborg,color,72,0.0001279147349223385,286.09090909090907
283,Göteborg,color,72,0.000127230678083214,283.6952380952381
284,Göteborg,color,72,0.00015775731713758858,250.4
285,Göteborg,color,72,0.0002747083664337599,248.61290322580646
286,Göteborg,color,72,5.717598075499557e-05,334.02941176470586
287,Göteborg,color,72,0.00010460357632817988,333.0487804878049
288,Göteborg,color,72,0.00013808904045799181,300.7878787878788
289,Göteborg,color,72,0.00011421035894694281,328.7142857142857
290,Göteborg,color,72,0.0001422809042404815,235.34
291,Göteborg,color,72,9.68450359131144e-05,295.84615384615387
292,Göteborg,color,72,0.00023321317074788712,205.76190476190476
293,Göteborg,color,72,7.302879088610341e-05,292.4594594594595
294,Göteborg,color,72,8.023704651146868e-05,295.0
295,Göteborg,color,72,0.0001446216204901173,246.15942028985506
296,Göteborg,color,72,4.6694930435369285e-05,306.01075268817203
297,Göteborg,color,72,0.000133186527365761,280.680412371134
298,Göteborg,color,72,7.760590060663632e-05,338.1363636363636
299,Göteborg,color,72,0.00011424990990960384,272.2307692307692
300,Hong_Kong,color,94,0.00015571432199395146,363.0
301,Hong_Kong,color,94,5.172955075688756e-05,291.609756097561
302,Hong_Kong,color,94,7.349347870924067e-05,288.8076923076923
303,Hong_Kong,color,94,8.448807296849157e-05,293.72222222222223
304,Hong_Kong,color,94,5.5287466210101206e-05,289.42857142857144
305,Hong_Kong,color,94,0.0001257507473783799,272.7931034482759
306,Hong_Kong,color,94,4.745995837049491e-05,326.0
307,Hong_Kong,color,94,0.00015884089884070338,258.6923076923077
308,Hong_Kong,color,94,3.997629345615478e-05,342.0
309,Hong_Kong,color,94,0.00010258355545119146,300.78
310,Hong_Kong,color,94,0.00010410059188767029,310.5769230769231
311,Hong_Kong,color,94,0.00015535452253511044,255.64
312,Hong_Kong,color,94,8.989004258155487e-05,241.3684210526316
313,Hong_Kong,color,94,9.385728393651017e-05,305.0
314,Hong_Kong,color,94,6.57874346665671e-05,253.90625
315,Hong_Kong,color,94,0.00010765414452343072,236.86363636363637
316,Hong_Kong,color,94,7.45411396609803e-05,309.3225806451613
317,Hong_Kong,color,94,2.1138508442045644e-05,391.7647058823529
318,Hong_Kong,color,94,5.120939799799666e-05,396.67857142857144
319,Hong_Kong,color,94,6.116970057024911e-05,304.52941176470586
320,Krakau,color,101,4.2131166342600806e-05,454.2340425531915
321,Krakau,color,101,6.822307683380649e-05,380.5272727272727
322,Krakau,color,101,4.7904617917942116e-05,424.2826086956522
323,Krakau,color,101,5.791385957009789e-05,375.1170212765957
324,Krakau,color,101,3.527560771211983e-05,361.6
325,Krakau,color,101,0.00011660391932802952,275.9795918367347
326,Krakau,color,101,8.983922902849088e-05,422.4178082191781
327,Krakau,color,101,8.922048306703864e-05,451.24590163934425
328,Krakau,color,101,4.714533147976574e-05,523.9487179487179
329,Krakau,color,101,8.088844188136802e-05,379.4
330,Krakau,color,101,0.00010424107821592781,328.79487179487177
331,Krakau,color,101,2.6366023248635884e-05,432.3076923076923
332,Krakau,color,101,0.00018669891034486758,261.2950819672131
333,Krakau,color,101,3.50878982721277e-05,432.656050955414
334,Krakau,color,101,6.707488770337285e-05,422.8454545454546
335,Krakau,color,101,5.579816988775151e-05,324.1764705882353
